fov,epoch,n_clusters,kappa
96,24,16,0.2049168407920216
96,99,15,0.2140896043928616
96,199,15,0.200422678521315
96,299,13,0.2270842558673161
96,399,13,0.2355604050165942
96,499,15,0.2356816936556976
96,599,16,0.2316615741552739
96,699,18,0.1859923085887425
128,24,15,0.2246635828427249
128,99,15,0.2785087719298246
128,199,15,0.3507069488548671
128,299,15,0.394001075909798
128,399,16,0.3744088720196331
128,499,14,0.4223931775334353
128,599,15,0.4529804011054487
128,699,16,0.4346227644896226
