config,fov,target,n,r2_control,r2_full,delta,null_mean,null_p95,p,beats_null,interpretable
ecm_fov96,96,homo_CAF,529,0.2689486201075273,0.011210285284481425,-0.25773833482304587,-0.06846797027767632,-0.010344063119786981,0.9651741293532339,False,True
ecm_fov96,96,homo_apCAF,313,0.07175052574303553,0.05885549872727458,-0.012895027015760951,-0.05805956957177227,0.012180836017413559,0.16417910447761194,False,True
ecm_fov96,96,homo_CD4_Tcell,248,0.053330041678706475,0.06905516022525893,0.015725118546552452,-0.01867733660956003,0.021230278520815476,0.07960199004975124,False,True
ecm_fov96,96,homo_CD8_Tcell,297,0.03378738788683666,0.009576956026992156,-0.024210431859844506,-0.02474633219026198,0.015322092916208882,0.5970149253731343,False,False
ecm_fov96,96,homo_mesenchymal_tumor_class1,154,0.1306680004599704,0.08412527176018425,-0.04654272869978615,-1.8925762239570418,-0.019688406102579666,0.13930348258706468,False,False
ecm_fov96,96,homo_other_tissue,912,0.3930751726542845,0.4610818240525465,0.06800665139826201,-0.011115770278162256,0.003964274427770521,0.004975124378109453,True,True
ecm_fov96,96,mixing,919,0.7722672656844333,0.8408764003161785,0.06860913463174523,-0.0038182810511837896,0.003944757947774518,0.004975124378109453,True,True
ecm_fov96,96,enr_apCAF__CD8_Tcell,276,-0.019109044667591446,-0.013590209344951587,0.005518835322639859,-0.0006791510448665705,0.01869510488153107,0.4527363184079602,False,False
ecm_fov96,96,enr_CD8_Tcell__apCAF,273,0.007550952106750608,-0.0024758973907759163,-0.010026849497526524,-0.012336981350172414,0.02641698740265701,0.527363184079602,False,False
ecm_fov96,96,enr_CD8_Tcell__epithelial_tumor_class1,154,-0.029354798720526265,-0.20493899583446118,-0.17558419711393491,-0.3388176020970875,-0.0029794915117832294,0.6616915422885572,False,False
ecm_fov96,96,enr_CD4_Tcell__apCAF,237,0.035973471177131566,-0.9021970867511477,-0.9381705579282793,-0.03353417046247648,0.020191311498404637,1.0,False,False
ecm_fov96,96,enr_CAF__CD8_Tcell,409,0.07234420273088882,0.012272098060189918,-0.0600721046706989,-0.0648575212341331,-0.009365697586014275,0.7562189054726368,False,True
ecm_fov128,128,homo_CAF,414,0.2080349170123038,0.22431645675475564,0.016281539742451834,-0.03844090396069112,0.014605578160505405,0.05472636815920398,False,True
ecm_fov128,128,homo_apCAF,271,0.04793902509864889,0.03776818586025221,-0.010170839238396678,-0.027377931285678735,0.01300278400376583,0.29850746268656714,False,False
ecm_fov128,128,homo_CD4_Tcell,209,0.021910742207861267,0.03739115781555158,0.015480415607690312,-0.02010737589855697,0.02596244238298212,0.11940298507462686,False,False
ecm_fov128,128,homo_CD8_Tcell,256,0.09629565655630956,0.12432755467039536,0.028031898114085796,-0.032171882467410984,0.005746478548653203,0.009950248756218905,True,True
ecm_fov128,128,homo_mesenchymal_tumor_class1,127,0.27407209226642604,0.3646184043138776,0.09054631204745156,-0.2783772101531333,-0.014588429761029737,0.004975124378109453,True,False
ecm_fov128,128,homo_other_tissue,582,0.5614530719156667,0.5800820659030445,0.018628993987377718,-0.03936065535043178,-0.01146790482454974,0.004975124378109453,True,True
ecm_fov128,128,mixing,584,0.7764809691654069,0.8046251572659553,0.028144188100548417,-0.00860880144005691,0.0037628123792809694,0.004975124378109453,True,True
ecm_fov128,128,enr_apCAF__CD8_Tcell,248,-0.03245867146104042,-0.03878353120323652,-0.006324859742196098,0.0023580757675319424,0.026899127209906403,0.7562189054726368,False,False
ecm_fov128,128,enr_CD8_Tcell__apCAF,246,-0.119199597173548,-0.06856573871855631,0.05063385845499169,0.02806345643600059,0.06889045510817317,0.25870646766169153,False,False
ecm_fov128,128,enr_CD8_Tcell__epithelial_tumor_class1,166,-0.0069573922052939,0.031469955769248936,0.038427347974542836,-0.006310660157111259,0.0411479564616219,0.07960199004975124,False,False
ecm_fov128,128,enr_CD4_Tcell__apCAF,206,-0.027331095224271573,-0.027359305871333284,-2.8210647061710503e-05,0.007230006101314841,0.020723044403078178,0.7860696517412935,False,False
ecm_fov128,128,enr_CAF__CD8_Tcell,352,0.02391688067410558,0.03327759621641602,0.009360715542310438,-0.006683003262977063,0.024184173406270406,0.16417910447761194,False,False
