fov,arm,n_ecm,n_ecm_voxels,ecm_density
96,base,0.15268326091005727,0.32175968743648536,0.14504600013572755
96,ecm,0.5456800647507714,0.6333571223643396,0.3806131840644767
128,base,0.4113900951882783,0.6219743798321061,0.2571568763700593
128,ecm,0.5387723276670185,0.6565635183913756,0.38794885436471216
