fov,arm,n_windows,n_clusters,kappa,sd_over_seeds,gain,gain_res_lo,gain_res_hi
96,comp10,1053,14,0.15840743391602882,0.00959116964936217,1.0,0.9089916736359,1.0135001291225243
96,comp11,1053,15,0.17206310574123174,0.012601703135878899,1.0862060036427441,1.0345026250838365,1.2517865640012693
96,base,1053,15,0.20042267852131504,0.009289448849591632,1.2652353085118362,1.2367489514012202,1.662860188283658
96,ecm,1053,15,0.2859900248606414,0.00832670762721319,1.805407851074992,1.5926477142312785,2.04102963422399
128,comp10,637,14,0.14803198956441094,0.001442376587082326,1.0,0.9785845998588353,1.1069479662258763
128,comp11,637,14,0.18445111866738997,0.005832892016139499,1.2460220200386656,1.16215972461919,1.441183865051412
128,base,637,15,0.3507069488548671,0.007470909970401264,2.369129469156187,2.3052347107076985,2.581544121986077
128,ecm,637,14,0.3794616956335293,0.011678580137100212,2.5633763131206164,2.4819493674820814,3.0113328521827403
