config,arm,fov,filt,threshold,n_windows,n_clusters,kappa,kappa_comp,gain,gain_lo,gain_hi
ecm_fov96,ecm,96,flat,10,1053,15,0.2859900248606414,0.15840743391602882,1.805407851074992,1.5926477142312785,2.04102963422399
ecm_fov96,ecm,96,scaled,10,1053,15,0.2859900248606414,0.15840743391602882,1.805407851074992,1.5926477142312785,2.04102963422399
ecm_fov128,ecm,128,flat,10,637,14,0.3794616956335293,0.14803198956441094,2.5633763131206164,2.4819493674820814,3.0113328521827403
ecm_fov128,ecm,128,scaled,18,595,15,0.39158580115717984,0.15787259016466051,2.4803913126956196,2.40852219066033,2.7533088586835834
ecm_fov192,ecm,192,flat,10,325,11,0.4431256358541418,0.21424400997473578,2.068322171090787,1.8833509836467306,2.086305563579004
ecm_fov192,ecm,192,scaled,40,286,10,0.44770452191922666,0.20640316449828486,2.1690777997880306,2.014075056017315,2.347365122728171
final_fov96,base,96,flat,10,1053,15,0.20042267852131504,0.15840743391602882,1.2652353085118362,1.2367489514012202,1.662860188283658
final_fov96,base,96,scaled,10,1053,15,0.20042267852131504,0.15840743391602882,1.2652353085118362,1.2367489514012202,1.662860188283658
final_fov128,base,128,flat,10,637,15,0.3507069488548671,0.14803198956441094,2.369129469156187,2.3052347107076985,2.581544121986077
final_fov128,base,128,scaled,18,595,15,0.35140978290244107,0.15787259016466051,2.225907502600179,2.165324993773222,2.4228311700937386
