x,y,z,type,is_movable,volume
177.798807,-186.204707,0.0,epithelial_tumor_class1,1,1602.8706306200218
-331.240810,-53.451120,0.0,mesenchymal_tumor_class1,1,1115.0616601645884
289.029163,-21.784555,0.0,mesenchymal_tumor_class1,1,1023.3657908187403
468.823770,-100.607580,0.0,mesenchymal_tumor_class1,1,1317.6708361041115
456.302882,45.482459,0.0,epithelial_tumor_class1,1,2990.401382750907
-136.597266,239.576509,0.0,mesenchymal_tumor_class1,1,1077.7329705428738
-262.756457,121.906236,0.0,epithelial_tumor_class1,1,4354.886174084614
379.148289,18.740821,0.0,epithelial_tumor_class1,1,1247.6876934795923
139.592555,91.964600,0.0,mesenchymal_tumor_class1,1,1347.5369178333824
95.932371,34.677392,0.0,mesenchymal_tumor_class1,1,1820.3316452768709
-182.662213,8.109043,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
-61.158524,-325.625769,0.0,mesenchymal_tumor_class1,1,1969.2783145107496
141.902661,-301.478766,0.0,mesenchymal_tumor_class1,1,1202.5096263309247
367.559589,163.893744,0.0,mesenchymal_tumor_class1,1,705.3255454122294
-14.177974,-86.046996,0.0,CAF,1,939.4167244523458
196.348711,401.191086,0.0,CAF,1,765.8961040078558
-60.736535,-388.364440,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
-259.441674,147.780169,0.0,CAF,1,688.9764862712935
154.801048,156.464439,0.0,mesenchymal_tumor_class1,1,550.3852590411423
208.465837,-389.220139,0.0,mesenchymal_tumor_class1,1,1213.1499486690095
192.879350,197.222868,0.0,mesenchymal_tumor_class1,1,1142.400936792469
88.728865,274.264238,0.0,epithelial_tumor_class1,1,2340.159897932903
-226.363308,223.269282,0.0,epithelial_tumor_class1,1,734.1220872875407
14.857534,93.711090,0.0,CD4_Tcell,1,775.5509122777905
34.228445,-471.627047,0.0,epithelial_tumor_class1,1,1748.1293164570768
-79.384435,470.690493,0.0,mesenchymal_tumor_class1,1,1281.2197328780665
-183.065438,257.078062,0.0,epithelial_tumor_class1,1,4354.886174084614
-151.242510,-56.179099,0.0,mesenchymal_tumor_class1,1,1244.8594443936527
254.169765,-247.364016,0.0,mesenchymal_tumor_class1,1,921.8495342085372
-23.856014,93.500737,0.0,CAF,1,784.196215727038
-315.174228,-60.420356,0.0,CAF,1,376.46019239404376
-98.214239,-345.738203,0.0,mesenchymal_tumor_class1_class2,1,950.0512019119556
-326.695003,226.851461,0.0,CD4_Tcell,1,906.8612710417315
302.747624,-104.052430,0.0,epithelial_tumor_class1,1,1677.24744034966
-359.704689,164.722054,0.0,mesenchymal_tumor_class1,1,749.338216099033
-54.914056,420.736280,0.0,epithelial_tumor_class1,1,1733.5380286570057
177.292442,-425.428222,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
316.361313,68.942275,0.0,mesenchymal_tumor_class1,1,1574.656406254985
127.120548,-176.998669,0.0,epithelial_tumor_class1,1,2171.067128492166
-117.734010,-453.266647,0.0,epithelial_tumor_class1,1,1272.539733349429
158.158352,72.536364,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
32.100517,1.125473,0.0,mesenchymal_tumor_class1,1,1830.2991830968688
-238.714964,46.181358,0.0,epithelial_tumor_class1,1,1656.6472325167629
70.731009,441.715054,0.0,mesenchymal_tumor_class1,1,1804.8747256657539
67.068340,-190.145528,0.0,epithelial_tumor_class1,1,1837.5810035432376
-89.724058,248.134234,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
337.315798,33.048471,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
226.479807,-56.584984,0.0,mesenchymal_tumor_class1,1,759.25606511686
242.071851,-385.673919,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
311.261880,-277.363823,0.0,epithelial_tumor_class1,1,2084.9451876204785
463.873436,19.138237,0.0,CAF,1,462.33526779420407
75.624478,-440.548936,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
328.087264,-201.528773,0.0,mesenchymal_tumor_class1,1,770.7032663755052
146.185013,43.040775,0.0,CD4_Tcell,1,1059.611344418937
425.670270,-15.317006,0.0,mesenchymal_tumor_class1,1,1742.5561134872128
-69.936715,-371.516336,0.0,CAF,1,903.7837925640034
-222.977581,-242.739102,0.0,mesenchymal_tumor_class1,1,1296.6267382320846
49.250176,-246.505178,0.0,mesenchymal_tumor_class1,1,1015.1862829057112
-35.473165,-96.534379,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
-35.823507,159.078988,0.0,CAF,1,661.1055365707138
6.832311,-199.035835,0.0,mesenchymal_tumor_class1,1,993.0259166238438
-73.826537,89.347418,0.0,CAF,1,543.5123961327697
63.745924,224.514963,0.0,CAF,1,382.5056460118034
211.881860,-261.146003,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
357.775725,-90.212456,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
156.787410,-369.018249,0.0,CAF,1,530.3505994039987
245.946231,-77.798908,0.0,mesenchymal_tumor_class1,1,1732.9449088482393
-363.206819,-36.985886,0.0,mesenchymal_tumor_class1,1,1429.0105199042625
-138.720811,-36.083237,0.0,apCAF,1,425.3176189856115
202.772890,-418.632778,0.0,epithelial_tumor_class1,1,3770.562700041338
37.412351,308.863931,0.0,CD8_Tcell,1,441.2946404990303
239.927815,351.649822,0.0,mesenchymal_tumor_class1,1,1863.6038953050104
177.221520,103.117596,0.0,mesenchymal_tumor_class1,1,1385.0490783859627
-230.840477,-331.568121,0.0,CAF,1,457.3653576954519
311.937662,-23.367751,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
-9.225456,-442.576497,0.0,epithelial_tumor_class1_class2,1,560.5644129977587
72.075107,298.956403,0.0,mesenchymal_tumor_class1,1,829.8173849701104
145.430880,6.437282,0.0,epithelial_tumor_class1,1,666.238396880557
100.336802,255.142888,0.0,epithelial_tumor_class1,1,790.1123970163195
-406.371197,88.060805,0.0,mesenchymal_tumor_class1,1,746.9668733719462
-184.083507,-193.615915,0.0,epithelial_tumor_class1,1,2894.9719419693997
-304.900909,-67.381766,0.0,mesenchymal_tumor_class1,1,1149.9483590646455
-47.956691,-174.552654,0.0,CAF,1,636.3549786208839
245.065926,157.876711,0.0,apCAF,1,102.60608689657539
-227.758578,36.381236,0.0,apCAF,1,479.250288472487
197.038387,222.435206,0.0,mesenchymal_tumor_class1,1,1369.6933767198914
301.473910,362.874995,0.0,mesenchymal_tumor_class1,1,1470.075242511793
-58.631052,-312.008638,0.0,mesenchymal_tumor_class1,1,938.6468929579269
-395.600729,266.513515,0.0,mesenchymal_tumor_class1,1,1271.4894239992284
-299.485184,112.265461,0.0,mesenchymal_tumor_class1,1,1844.9548570196816
-343.957577,345.765572,0.0,apCAF,1,365.33900065521874
-208.656360,299.086497,0.0,CAF,1,601.9497212137668
263.382304,28.891224,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
391.060288,-15.105000,0.0,mesenchymal_tumor_class1,1,1307.8144364167474
290.519907,76.209883,0.0,mesenchymal_tumor_class1,1,1045.8988589872872
-305.925458,-182.298339,0.0,mesenchymal_tumor_class1,1,863.4209981349611
315.272561,-91.060787,0.0,epithelial_tumor_class1,1,1412.2349925696124
8.087610,-450.472350,0.0,apCAF,1,158.44714394954227
-246.636700,196.898307,0.0,epithelial_tumor_class1,1,4305.915662284362
-149.753230,-368.753927,0.0,CD4_Tcell,1,1078.3369701647375
214.159884,-133.536022,0.0,mesenchymal_tumor_class1,1,531.0796979722556
58.502249,179.136319,0.0,mesenchymal_tumor_class1,1,885.75490584345
152.391347,256.154007,0.0,epithelial_tumor_class1,1,2976.620675969189
-349.171574,215.721911,0.0,epithelial_tumor_class1,1,4354.886174084614
277.142186,-317.330715,0.0,epithelial_tumor_class1,1,2243.5367304831375
-332.318156,-41.159986,0.0,mesenchymal_tumor_class1,1,862.6538570469373
-176.411933,65.474816,0.0,mesenchymal_tumor_class1,1,818.1501428216774
360.902661,11.354042,0.0,mesenchymal_tumor_class1,1,1791.4664928616112
-174.997049,356.995270,0.0,mesenchymal_tumor_class1,1,771.1911861983486
-377.965494,134.383889,0.0,CAF,1,785.3894308741993
341.857297,-313.857312,0.0,CAF,1,586.7376135787638
385.182623,100.109447,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
-57.377291,-124.710490,0.0,mesenchymal_tumor_class1,1,916.4093346481667
-43.166995,-293.633363,0.0,mesenchymal_tumor_class1,1,1412.2654291058957
-222.103936,190.160528,0.0,mesenchymal_tumor_class1,1,2035.1993952573866
-53.442064,365.058033,0.0,apCAF,1,286.9143021541791
284.517563,-103.424718,0.0,epithelial_tumor_class1,1,853.0485277696432
14.677041,194.535125,0.0,CD4_Tcell,1,1078.3369701647375
345.937323,-131.406218,0.0,mesenchymal_tumor_class1_class2,1,107.01070259130346
27.060994,210.011590,0.0,epithelial_tumor_class1,1,1485.5727077879833
-0.513273,-330.277732,0.0,apCAF,1,682.7519657851592
192.523055,-106.556446,0.0,epithelial_tumor_class1,1,1595.9260801066785
462.919486,-36.745893,0.0,mesenchymal_tumor_class1,1,1980.5445008793338
161.176389,-102.307641,0.0,mesenchymal_tumor_class1,1,1165.7319020688167
-249.013149,-50.229555,0.0,CD8_Tcell,1,737.9856031836591
-30.216466,-278.819351,0.0,apCAF,1,460.0691583320063
-306.464198,-220.908479,0.0,epithelial_tumor_class1,1,1086.6279439763673
-43.358996,74.210594,0.0,epithelial_tumor_class1,1,2454.5347987166633
256.577339,128.291965,0.0,mesenchymal_tumor_class1,1,783.1480083857213
77.679727,-17.923225,0.0,CAF,1,575.4899107790524
-205.838708,247.219629,0.0,CAF,1,939.4167244523458
-41.592475,30.858554,0.0,CAF,1,651.5003647626024
242.919877,-361.253854,0.0,CAF,1,939.4167244523458
