x,y,z,type,is_movable,volume
-11.827390,163.374856,0.0,mesenchymal_tumor_class1,1,917.3906393334721
-29.833880,-298.999459,0.0,CAF,1,488.98507599693295
86.491720,-433.464491,0.0,epithelial_tumor_class1,1,1611.7291823526323
-69.512334,245.403668,0.0,CAF,1,659.5836608064843
-108.466481,-87.023419,0.0,epithelial_tumor_class1,1,2696.732775278705
67.501003,433.032786,0.0,epithelial_tumor_class1,1,2253.4968006075364
349.442514,-214.805180,0.0,CAF,1,1343.4894623322118
-356.063144,-198.104325,0.0,CD8_Tcell,1,432.48219026780856
-387.677893,55.388538,0.0,epithelial_tumor_class1,1,4724.75096534991
-270.354046,-140.456014,0.0,epithelial_tumor_class1,1,4724.75096534991
203.593673,-4.841999,0.0,epithelial_tumor_class1,1,2409.799339879141
50.973778,-464.574722,0.0,CD8_Tcell,1,349.20916194222525
-407.981291,-28.832150,0.0,epithelial_tumor_class1,1,2824.0955523682096
-96.777785,-22.802288,0.0,epithelial_tumor_class1,1,2939.3514861237163
-14.100416,-348.993848,0.0,CD4_Tcell,1,582.0559039607356
-94.107620,283.599874,0.0,epithelial_tumor_class1_class2,1,2645.390142752011
-20.049711,-65.814229,0.0,CD4_Tcell,1,416.2209535693832
50.249638,267.049488,0.0,epithelial_tumor_class1,1,2609.0662415547763
-45.756087,-194.944842,0.0,CD4_Tcell,1,535.037941005628
-422.072711,174.205964,0.0,CAF,1,747.8829327803408
184.589756,341.992506,0.0,CD8_Tcell,1,791.5184868621967
-128.067409,-338.780314,0.0,CAF,1,454.0290976346453
287.211015,-34.326692,0.0,epithelial_tumor_class1,1,1863.0546852749562
-76.656867,-404.625754,0.0,epithelial_tumor_class1,1,2809.7235106540265
-32.132606,-248.285318,0.0,CD4_Tcell,1,371.1652011721494
100.922140,-165.478449,0.0,epithelial_tumor_class1,1,2690.553730550567
-122.835941,348.059664,0.0,apCAF,1,467.3556132140851
-419.393736,-196.997688,0.0,CD8_Tcell,1,1335.6542216403604
296.936186,-19.705843,0.0,apCAF,1,297.8961268157746
-101.001730,-103.327056,0.0,CAF,1,841.896812368236
-171.450698,416.050174,0.0,epithelial_tumor_class1,1,1878.2893414748085
-192.774978,91.107870,0.0,epithelial_tumor_class1,1,4012.8696313204423
245.806624,272.147172,0.0,epithelial_tumor_class1,1,1990.7436936225367
-242.746687,-298.772872,0.0,CD4_Tcell,1,524.0544386498105
380.494124,192.580659,0.0,CAF,1,534.3211448756431
94.484897,-4.058245,0.0,CAF,1,1119.5397792494905
361.438445,37.609683,0.0,CD4_Tcell,1,469.17821931965204
-279.222407,13.733922,0.0,epithelial_tumor_class1,1,1580.357838929788
